description,alertlevel,alertscore,episodealertlevel,episodealertscore,fromdate,todate,severity,severitytext,source,iso3,GDACS ID,Exposed countries,Exposed population,Maximum wind speed (km/h),Maximum storm surge (m),Vulnerability,longitude,latitude,Category
Green Tropical Cyclone DORIAN-13 off-shore from: 24 Jul 2013  to: 03 Aug 2013 .,Green,1.0,Green,1.0,2013-07-24 15:00:00,2013-08-03 21:00:00,111.044736,Tropical Depression (maximum wind speed of 93 km/h),JRC,   ,TC 39074,Off-shore,0.0,111.0,-1.0,-1,-77.6000000002186,31.7000000004391,-1.0
"Orange Tropical Cyclone JEBI-13 in China, Viet Nam from: 31 Jul 2013  to: 03 Aug 2013 .",Orange,2.0,Orange,2.0,2013-07-31 06:00:00,2013-08-03 06:00:00,111.044736,Tropical Storm (maximum wind speed of 111 km/h),JRC,CHN,TC 39225,"China, Viet Nam",0.0,111.0,0.8,High,106.399999999781,21.7999999995609,-1.0
Green Tropical Cyclone FLOSSIE-13 in United States from: 25 Jul 2013  to: 30 Jul 2013 .,Green,1.0,Green,1.0,2013-07-25 09:00:00,2013-07-30 09:00:00,111.044736,Tropical Depression (maximum wind speed of 111 km/h),JRC,USA,TC 39097,United States,0.0,111.0,0.1,Low,-158.299999999561,22.2000000004391,-1.0
Green Tropical Cyclone KIKO-13 off-shore from: 31 Aug 2013  to: 02 Sep 2013 .,Green,1.0,Green,1.0,2013-08-31 21:00:00,2013-09-02 21:00:00,120.7008,Tropical Depression (maximum wind speed of 111 km/h),JRC,   ,TC 39765,Off-shore,0.0,121.0,-1.0,-1,-116.600000000219,22.8999999997814,1.0
Green Tropical Cyclone KONG-REY-13 in China from: 26 Aug 2013  to: 31 Aug 2013 .,Green,1.0,Green,1.0,2013-08-26 12:00:00,2013-08-31 00:00:00,120.7008,Tropical Depression (maximum wind speed of 101 km/h),JRC,CHN,TC 39673,China,0.0,121.0,1.1,Medium,129.5,33.6000000002186,1.0
Green Tropical Cyclone JULIETTE-13 in Mexico from: 28 Aug 2013  to: 30 Aug 2013 .,Green,1.0,Green,1.0,2013-08-28 21:00:00,2013-08-30 03:00:00,83.685888,Tropical Depression (maximum wind speed of 83 km/h),JRC,MEX,TC 39726,Mexico,0.0,84.0,-1.0,Medium,-114.799999999561,26.7000000004391,-1.0
Green Tropical Cyclone FERNAND-13 in Mexico from: 25 Aug 2013  to: 26 Aug 2013 .,Green,1.0,Green,1.0,2013-08-25 23:00:00,2013-08-26 15:00:00,93.341952,Tropical Depression (maximum wind speed of 83 km/h),JRC,MEX,TC 39669,Mexico,0.0,93.0,-1.0,Medium,-97.7000000004391,20.2999999995609,-1.0
Green Tropical Cyclone IVO-13 in Mexico from: 23 Aug 2013  to: 25 Aug 2013 .,Green,1.0,Green,1.0,2013-08-23 15:00:00,2013-08-25 21:00:00,83.685888,Tropical Depression (maximum wind speed of 74 km/h),JRC,MEX,TC 39613,Mexico,0.0,84.0,-1.0,Medium,-115.200000000439,25.7000000004391,-1.0
Green Tropical Cyclone PEWA-13 off-shore from: 16 Aug 2013  to: 25 Aug 2013 .,Green,1.0,Green,1.0,2013-08-16 15:00:00,2013-08-25 00:00:00,194.730624,Tropical Depression (maximum wind speed of 120 km/h),JRC,   ,TC 39505,Off-shore,0.0,195.0,-1.0,-1,166.700000000439,28.5,3.0
"Orange Tropical Cyclone FITOW-13 in China, Japan from: 30 Sep 2013  to: 06 Oct 2013 .",Orange,2.0,Green,1.0,2013-09-30 18:00:00,2013-10-06 18:00:00,194.730624,Tropical Storm (maximum wind speed of 167 km/h),JRC,CHN,TC 40330,"China, Japan",10200000.0,195.0,1.9,Medium,120.299999999561,27.3999999997814,3.0
Green Tropical Cyclone JERRY-13 off-shore from: 30 Sep 2013  to: 03 Oct 2013 .,Green,1.0,Green,1.0,2013-09-30 15:00:00,2013-10-03 21:00:00,93.341952,Tropical Depression (maximum wind speed of 83 km/h),JRC,   ,TC 40303,Off-shore,0.0,93.0,-1.0,-1,-38.7000000004391,31.7999999995609,-1.0
Green Tropical Cyclone SEPAT-13 off-shore from: 30 Sep 2013  to: 02 Oct 2013 .,Green,1.0,Green,1.0,2013-09-30 06:00:00,2013-10-02 00:00:00,74.029824,Tropical Storm (maximum wind speed of 64 km/h),JRC,   ,TC 40323,Off-shore,0.0,74.0,-1.0,-1,141.700000000439,33.8999999997814,-1.0
"Orange Tropical Cyclone WUTIP-13 in Laos, Thailand, Viet Nam from: 27 Sep 2013  to: 30 Sep 2013 .",Orange,2.0,Orange,2.0,2013-09-27 12:00:00,2013-09-30 12:00:00,194.730624,Hurricane/Typhoon > 74 mph (maximum wind speed of 167 km/h),JRC,LAO,TC 40266,"Laos, Thailand, Viet Nam",2800000.0,195.0,1.7,High,105.899999999781,17.7999999995609,3.0
Green Tropical Cyclone PABUK-13 off-shore from: 21 Sep 2013  to: 26 Sep 2013 .,Green,1.0,Green,1.0,2013-09-21 06:00:00,2013-09-26 06:00:00,167.371776,Tropical Storm (maximum wind speed of 167 km/h),JRC,   ,TC 40160,Off-shore,0.0,167.0,0.1,-1,145.5,33.8999999997814,2.0
Orange Tropical Cyclone KROSA-13 in Philippines from: 29 Oct 2013  to: 04 Nov 2013 .,Orange,2.0,Green,1.0,2013-10-29 18:00:00,2013-11-04 00:00:00,185.07456,Tropical Depression (maximum wind speed of 185 km/h),JRC,PHL,TC 40957,Philippines,1000000.0,185.0,0.6,Medium,112.299999999561,18.6000000002186,3.0
Green Tropical Cyclone RAYMOND-13 in Mexico from: 20 Oct 2013  to: 30 Oct 2013 .,Green,1.0,Green,1.0,2013-10-20 09:00:00,2013-10-30 15:00:00,204.386688,Tropical Depression (maximum wind speed of 204 km/h),JRC,MEX,TC 40771,Mexico,0.0,204.0,-1.0,Medium,-114.299999999561,19.7000000004391,3.0
Green Tropical Cyclone ONE-13 off-shore from: 27 Oct 2013  to: 28 Oct 2013 .,Green,1.0,Green,1.0,2013-10-27 12:00:00,2013-10-28 00:00:00,64.37376,Tropical Storm (maximum wind speed of 64 km/h),JRC,   ,TC 40921,Off-shore,0.0,64.0,-1.0,-1,62.5,-13.1000000002186,-1.0
Green Tropical Cyclone LEKIMA-13 off-shore from: 20 Oct 2013  to: 26 Oct 2013 .,Green,1.0,Green,1.0,2013-10-20 18:00:00,2013-10-26 06:00:00,268.760448,Hurricane/Typhoon > 74 mph (maximum wind speed of 259 km/h),JRC,   ,TC 40785,Off-shore,0.0,269.0,-1.0,-1,152.399999999781,36.8999999997814,5.0
"Green Tropical Cyclone FRANCISCO-13 in Japan, Guam from: 16 Oct 2013  to: 25 Oct 2013 .",Green,1.0,Green,1.0,2013-10-16 12:00:00,2013-10-25 18:00:00,268.760448,Tropical Storm (maximum wind speed of 259 km/h),JRC,JPN,TC 40669,"Japan, Guam",0.0,269.0,0.1,Medium,137.399999999781,30.2999999995609,5.0
Green Tropical Cyclone LORENZO-13 off-shore from: 21 Oct 2013  to: 24 Oct 2013 .,Green,1.0,Green,1.0,2013-10-21 21:00:00,2013-10-24 15:00:00,83.685888,Tropical Depression (maximum wind speed of 83 km/h),JRC,   ,TC 40807,Off-shore,0.0,84.0,-1.0,-1,-47.6000000002186,30.2000000004391,-1.0
Orange Tropical Cyclone LEHAR-13 in India from: 24 Nov 2013  to: 28 Nov 2013 .,Orange,2.0,Green,1.0,2013-11-24 12:00:00,2013-11-28 06:00:00,185.07456,Tropical Storm (maximum wind speed of 138 km/h),JRC,IND,TC 41483,India,0.0,185.0,0.3,High,81.8999999997814,15.0,3.0
Green Tropical Cyclone ALESSIA-13 in Australia from: 22 Nov 2013  to: 27 Nov 2013 .,Green,1.0,Green,1.0,2013-11-22 18:00:00,2013-11-27 18:00:00,93.341952,Tropical Depression (maximum wind speed of 83 km/h),JRC,AUS,TC 41456,Australia,0.0,93.0,-1.0,Low,137.700000000439,-16.5,-1.0
Red Tropical Cyclone BEJISA-14 in Miscellaneous (French) Indian Ocean Islands from: 31 Dec 2013  to: 05 Jan 2014 .,Red,3.0,Green,1.0,2013-12-31 18:00:00,2014-01-05 18:00:00,212.433408,Tropical Storm (maximum wind speed of 204 km/h),JRC,REU,TC 42161,Miscellaneous (French) Indian Ocean Islands,370000.0,212.0,0.2,Medium,45.2999999995609,-32.2999999995609,4.0
Green Tropical Cyclone CHRISTINE-13 in Australia from: 28 Dec 2013  to: 30 Dec 2013 .,Green,1.0,Green,1.0,2013-12-28 12:00:00,2013-12-30 18:00:00,148.059648,Hurricane/Typhoon > 74 mph (maximum wind speed of 138 km/h),JRC,AUS,TC 42135,Australia,0.0,148.0,1.3,Low,117.100000000219,-21.1000000002186,1.0
Green Tropical Cyclone BRUCE-13 off-shore from: 18 Dec 2013  to: 24 Dec 2013 .,Green,1.0,Green,1.0,2013-12-18 06:00:00,2013-12-24 12:00:00,259.104384,Tropical Storm (maximum wind speed of 259 km/h),JRC,   ,TC 41942,Off-shore,0.0,259.0,-1.0,-1,83.5,-31.6000000002186,5.0
Green Tropical Cyclone AMARA-13 in Mauritius from: 16 Dec 2013  to: 23 Dec 2013 .,Green,1.0,Green,1.0,2013-12-16 18:00:00,2013-12-23 12:00:00,241.4016,Tropical Storm (maximum wind speed of 241 km/h),JRC,MUS,TC 41924,Mauritius,0.0,241.0,0.1,Medium,68.7000000004391,-22.7999999995609,4.0
Green Tropical Cyclone KAJIKI-14 off-shore from: 31 Jan 2014  to: 01 Feb 2014 .,Green,1.0,Green,1.0,2014-01-31 06:00:00,2014-02-01 18:00:00,64.37376,Tropical Depression (maximum wind speed of 64 km/h),JRC,   ,TC 42825,Off-shore,0.0,64.0,-1.0,-1,115.200000000439,11.2999999995609,-1.0
Green Tropical Cyclone DYLAN-14 in Australia from: 30 Jan 2014  to: 31 Jan 2014 .,Green,1.0,Green,1.0,2014-01-30 12:00:00,2014-01-31 00:00:00,101.388672,Tropical Storm (maximum wind speed of 101 km/h),JRC,AUS,TC 42794,Australia,0.0,101.0,-1.0,Low,147.899999999781,-21.2999999995609,-1.0
Green Tropical Cyclone FAXAI-14 off-shore from: 28 Feb 2014  to: 05 Mar 2014 .,Green,1.0,Green,1.0,2014-02-28 12:00:00,2014-03-05 12:00:00,148.059648,Tropical Storm (maximum wind speed of 138 km/h),JRC,   ,TC 43343,Off-shore,0.0,148.0,-1.0,-1,154.5,22.1000000002186,1.0
Green Tropical Cyclone GUITO-14 off-shore from: 19 Feb 2014  to: 22 Feb 2014 .,Green,1.0,Green,1.0,2014-02-19 00:00:00,2014-02-22 06:00:00,175.418496,Tropical Storm (maximum wind speed of 120 km/h),JRC,   ,TC 43179,Off-shore,0.0,175.0,-1.0,-1,41.2999999995609,-32.8999999997814,2.0
Orange Tropical Cyclone HELLEN-14 in Madagascar from: 29 Mar 2014  to: 01 Apr 2014 .,Orange,2.0,Green,1.0,2014-03-29 06:00:00,2014-04-01 00:00:00,259.104384,Tropical Storm (maximum wind speed of 241 km/h),JRC,MDG,TC 44086,Madagascar,130000.0,259.0,1.4,High,46.1000000002186,-17.0,5.0
Green Tropical Cyclone GILLIAN-14 in Christmas Island from: 08 Mar 2014  to: 25 Mar 2014 .,Green,1.0,Green,1.0,2014-03-08 12:00:00,2014-03-25 18:00:00,259.104384,Tropical Storm (maximum wind speed of 259 km/h),JRC,CXR,TC 43511,Christmas Island,0.0,259.0,0.1,-1,103.5,-21.0,5.0
Green Tropical Cyclone TAPAH-14 off-shore from: 28 Apr 2014  to: 01 May 2014 .,Green,1.0,Green,1.0,2014-04-28 06:00:00,2014-05-01 06:00:00,138.403584,Tropical Depression (maximum wind speed of 120 km/h),JRC,   ,TC 45038,Off-shore,0.0,138.0,-1.0,-1,144.399999999781,22.0,1.0
Green Tropical Cyclone AMANDA-14 off-shore from: 23 May 2014  to: 29 May 2014 .,Green,1.0,Green,1.0,2014-05-23 15:00:00,2014-05-29 21:00:00,249.44832,Tropical Depression (maximum wind speed of 249 km/h),JRC,   ,TC 45656,Off-shore,0.0,249.0,-1.0,-1,-109.0,16.2000000004391,4.0
Green Tropical Cyclone GENEVIEVE-14 off-shore from: 25 Jul 2014  to: 11 Aug 2014 .,Green,1.0,Green,1.0,2014-07-25 09:00:00,2014-08-11 18:00:00,231.745536,Tropical Depression (maximum wind speed of 259 km/h),JRC,   ,TC 46899,Off-shore,0.0,232.0,-1.0,-1,167.600000000219,34.8999999997814,4.0
Green Tropical Cyclone HALONG-14 in Japan from: 29 Jul 2014  to: 10 Aug 2014 .,Green,1.0,Green,1.0,2014-07-29 06:00:00,2014-08-10 00:00:00,259.104384,Tropical Storm (maximum wind speed of 259 km/h),JRC,JPN,TC 46967,Japan,90000.0,259.0,0.8,Low,134.299999999561,34.1000000002186,5.0
Green Tropical Cyclone ISELLE-14 in United States from: 31 Jul 2014  to: 09 Aug 2014 .,Green,1.0,Green,1.0,2014-07-31 21:00:00,2014-08-09 09:00:00,222.089472,Tropical Depression (maximum wind speed of 222 km/h),JRC,USA,TC 47020,United States,5000.0,222.0,0.2,Low,-160.799999999561,20.2999999995609,4.0
Green Tropical Cyclone HERNAN-14 in Mexico from: 26 Jul 2014  to: 29 Jul 2014 .,Green,1.0,Green,1.0,2014-07-26 21:00:00,2014-07-29 15:00:00,120.7008,Tropical Depression (maximum wind speed of 120 km/h),JRC,MEX,TC 46927,Mexico,0.0,121.0,-1.0,Medium,-121.100000000219,23.5,1.0
Orange Tropical Cyclone MATMO-14 in China from: 18 Jul 2014  to: 23 Jul 2014 .,Orange,2.0,Green,1.0,2014-07-18 00:00:00,2014-07-23 12:00:00,204.386688,Tropical Storm (maximum wind speed of 157 km/h),JRC,CHN,TC 46757,China,9300000.0,204.0,1.1,Medium,119.0,25.7999999995609,3.0
Green Tropical Cyclone TWO-14 off-shore from: 21 Jul 2014  to: 23 Jul 2014 .,Green,1.0,Green,1.0,2014-07-21 21:00:00,2014-07-23 09:00:00,56.32704,Tropical Depression (maximum wind speed of 56 km/h),JRC,   ,TC 46848,Off-shore,0.0,56.0,-1.0,-1,-53.2000000004391,13.8999999997814,-1.0
Green Tropical Cyclone CRISTOBAL-14 in Bahamas from: 24 Aug 2014  to: 29 Aug 2014 .,Green,1.0,Green,1.0,2014-08-24 15:00:00,2014-08-29 15:00:00,148.059648,Hurricane/Typhoon > 74 mph (maximum wind speed of 138 km/h),JRC,BHS,TC 47478,Bahamas,0.0,148.0,0.5,Low,-47.1000000002186,45.5,1.0
Green Tropical Cyclone MARIE-14 in Mexico from: 22 Aug 2014  to: 29 Aug 2014 .,Green,1.0,Green,1.0,2014-08-22 09:00:00,2014-08-29 09:00:00,259.104384,Tropical Storm (maximum wind speed of 259 km/h),JRC,MEX,TC 47442,Mexico,0.0,259.0,-1.0,Medium,-132.5,27.6000000002186,5.0
Green Tropical Cyclone KARINA-14 off-shore from: 18 Aug 2014  to: 27 Aug 2014 .,Green,1.0,Green,1.0,2014-08-18 15:00:00,2014-08-27 03:00:00,130.356864,Tropical Depression (maximum wind speed of 130 km/h),JRC,   ,TC 47256,Off-shore,0.0,130.0,-1.0,-1,-126.5,15.8999999997814,1.0
Green Tropical Cyclone PHANFONE-14 in Japan from: 29 Sep 2014  to: 06 Oct 2014 .,Green,1.0,Green,1.0,2014-09-29 06:00:00,2014-10-06 06:00:00,241.4016,Tropical Storm (maximum wind speed of 241 km/h),JRC,JPN,TC 48205,Japan,39300000.0,241.0,1.1,Low,142.5,37.2,4.0
Green Tropical Cyclone RACHEL-14 off-shore from: 25 Sep 2014  to: 30 Sep 2014 .,Green,1.0,Green,1.0,2014-09-25 03:00:00,2014-09-30 21:00:00,148.059648,Tropical Depression (maximum wind speed of 138 km/h),JRC,   ,TC 48127,Off-shore,0.0,148.0,-1.0,-1,-117.5,22.9,1.0
Green Tropical Cyclone KAMMURI-14 off-shore from: 24 Sep 2014  to: 29 Sep 2014 .,Green,1.0,Green,1.0,2014-09-24 12:00:00,2014-09-29 00:00:00,148.059648,Tropical Storm (maximum wind speed of 101 km/h),JRC,   ,TC 48126,Off-shore,0.0,148.0,0.1,-1,146.299999999561,33.5,1.0
"Green Tropical Cyclone FUNG-WONG-14 in China, Philippines from: 17 Sep 2014  to: 23 Sep 2014 .",Green,1.0,Green,1.0,2014-09-17 18:00:00,2014-09-23 12:00:00,167.371776,Tropical Depression (maximum wind speed of 93 km/h),JRC,CHN,TC 47998,"China, Philippines",0.0,167.0,1.0,Medium,122.799999999561,32.3999999997814,2.0
Green Tropical Cyclone NURI-14 off-shore from: 31 Oct 2014  to: 06 Nov 2014 .,Green,1.0,Green,1.0,2014-10-31 12:00:00,2014-11-06 00:00:00,315.431424,Tropical Storm (maximum wind speed of 286 km/h),JTWC,   ,n.a,Off-shore,0.0,315.0,-1.0,-1,140.1,28.2,5.0
Green Tropical Cyclone VANCE-14 in Mexico from: 30 Oct 2014  to: 05 Nov 2014 .,Green,1.0,Green,1.0,2014-10-30 21:00:00,2014-11-05 15:00:00,185.07456,Tropical Depression (maximum wind speed of 175 km/h),NOAA,MEX,n.a,Mexico,0.0,185.0,0.2,Medium,-105.7,22.7,3.0
Green Tropical Cyclone NILOFAR-14 off-shore from: 26 Oct 2014  to: 30 Oct 2014 .,Green,1.0,Green,1.0,2014-10-26 12:00:00,2014-10-30 18:00:00,231.745536,Tropical Storm (maximum wind speed of 212 km/h),JTWC,   ,n.a,Off-shore,0.0,232.0,-1.0,-1,65.0,20.5,4.0
"Green Tropical Cyclone HANNA-14 in Honduras, Nicaragua from: 27 Oct 2014  to: 27 Oct 2014 .",Green,1.0,Green,1.0,2014-10-27 15:00:00,2014-10-27 21:00:00,83.685888,Tropical Storm (maximum wind speed of 64 km/h),NOAA,HND,n.a,"Honduras, Nicaragua",0.0,84.0,-1.0,Medium,-83.9,14.6,-1.0
"Green Tropical Cyclone ANA-14 in United States, Canada from: 14 Oct 2014  to: 26 Oct 2014 .",Green,1.0,Green,1.0,2014-10-14 00:00:00,2014-10-26 12:00:00,148.059648,Tropical Storm (maximum wind speed of 138 km/h),JRC,USA,TC 1000113,"United States, Canada",0.0,148.0,-1.0,Low,-150.2,41.2,1.0
"Green Tropical Cyclone SINLAKU-14 in Cambodia, Viet Nam, Laos from: 28 Nov 2014  to: 29 Nov 2014 .",Green,1.0,Green,1.0,2014-11-28 06:00:00,2014-11-29 18:00:00,120.7008,Tropical Storm (maximum wind speed of 101 km/h),JTWC,KHM,n.a,"Cambodia, Viet Nam, Laos",0.0,121.0,0.2,High,109.0,13.8,1.0
Green Tropical Cyclone TWO-14 off-shore from: 28 Nov 2014  to: 29 Nov 2014 .,Green,1.0,Green,1.0,2014-11-28 12:00:00,2014-11-29 12:00:00,83.685888,Tropical Depression (maximum wind speed of 64 km/h),JTWC,   ,n.a,Off-shore,0.0,84.0,-1.0,-1,60.3,-18.5,-1.0
Green Tropical Cyclone KATE-15 off-shore from: 25 Dec 2014  to: 31 Dec 2014 .,Green,1.0,Green,1.0,2014-12-25 00:00:00,2014-12-31 12:00:00,231.745536,Tropical Storm (maximum wind speed of 194 km/h),JTWC,   ,n.a,Off-shore,0.0,232.0,-1.0,-1,86.0,-20.5,4.0
Green Tropical Cyclone TWENTYTHRE-15 in Philippines from: 28 Dec 2014  to: 28 Dec 2014 .,Green,1.0,Green,1.0,2014-12-28 00:00:00,2014-12-28 18:00:00,93.341952,Tropical Depression (maximum wind speed of 83 km/h),JTWC,PHL,n.a,Philippines,0.0,93.0,-1.0,Medium,126.7,8.5,-1.0
Green Tropical Cyclone OLA-15 off-shore from: 31 Jan 2015  to: 03 Feb 2015 .,Green,1.0,Green,1.0,2015-01-31 06:00:00,2015-02-03 06:00:00,167.371776,Tropical Storm (maximum wind speed of 148 km/h),JTWC,   ,n.a,Off-shore,0.0,167.0,-1.0,-1,161.2,-27.4,2.0
Green Tropical Cyclone EUNICE-15 off-shore from: 28 Jan 2015  to: 02 Feb 2015 .,Green,1.0,Green,1.0,2015-01-28 12:00:00,2015-02-02 12:00:00,278.416512,Tropical Storm (maximum wind speed of 259 km/h),JTWC,   ,n.a,Off-shore,0.0,278.0,-1.0,-1,91.5,-28.5,5.0
Green Tropical Cyclone DIAMONDRA-15 off-shore from: 27 Jan 2015  to: 29 Jan 2015 .,Green,1.0,Green,1.0,2015-01-27 18:00:00,2015-01-29 06:00:00,111.044736,Tropical Storm (maximum wind speed of 83 km/h),JTWC,   ,n.a,Off-shore,0.0,111.0,-1.0,-1,80.2,-20.8,-1.0
Green Tropical Cyclone NIKO-15 in French Polynesia from: 21 Jan 2015  to: 24 Jan 2015 .,Green,1.0,Green,1.0,2015-01-21 06:00:00,2015-01-24 06:00:00,175.418496,Tropical Depression (maximum wind speed of 175 km/h),JTWC,PYF,n.a,French Polynesia,0.0,175.0,-1.0,High,-146.8,-27.3,2.0
Green Tropical Cyclone GLENDA-15 off-shore from: 24 Feb 2015  to: 28 Feb 2015 .,Green,1.0,Green,1.0,2015-02-24 18:00:00,2015-02-28 06:00:00,175.418496,Tropical Storm (maximum wind speed of 101 km/h),JTWC,   ,n.a,Off-shore,0.0,175.0,-1.0,-1,67.7,-27.5,2.0
Green Tropical Cyclone MAYSAK-15 in Philippines from: 27 Mar 2015  to: 05 Apr 2015 .,Green,1.0,Green,1.0,2015-03-27 00:00:00,2015-04-05 00:00:00,259.2576,Tropical Storm (maximum wind speed of 259 km/h),JTWC,PHL,n.a,Philippines,0.0,259.0,0.1,Medium,120.5,17.7,5.0
Green Tropical Cyclone QUANG-15 in Australia from: 29 Apr 2015  to: 01 May 2015 .,Green,1.0,Green,1.0,2015-04-29 06:00:00,2015-05-01 12:00:00,212.433408,Tropical Storm (maximum wind speed of 212 km/h),JTWC,AUS,n.a,Australia,3000.0,212.0,1.1,Low,115.1,-22.4,4.0
Green Tropical Cyclone ANDRES-15 off-shore from: 28 May 2015  to: 04 Jun 2015 .,Green,1.0,Green,1.0,2015-05-28 15:00:00,2015-06-04 21:00:00,231.745536,Tropical Depression (maximum wind speed of 231 km/h),NOAA,   ,n.a,Off-shore,0.0,232.0,-1.0,-1,-124.2,20.1,4.0
"Orange Tropical Cyclone CHAN-HOM-15 in Japan, China from: 30 Jun 2015  to: 12 Jul 2015 .",Orange,2.0,Green,1.0,2015-06-30 12:00:00,2015-07-12 18:00:00,240.7392,Tropical Depression (maximum wind speed of 222 km/h),JTWC,JPN,n.a,"Japan, China",2000000.0,241.0,2.4,Medium,125.4,38.4,4.0
Green Tropical Cyclone RAQUEL-15 in Solomon Islands from: 30 Jun 2015  to: 04 Jul 2015 .,Green,1.0,Green,1.0,2015-06-30 12:00:00,2015-07-04 00:00:00,111.1104,Tropical Depression (maximum wind speed of 83 km/h),JTWC,SLB,n.a,Solomon Islands,0.0,111.0,0.1,High,159.5,-9.0,-1.0
Green Tropical Cyclone KUJIRA-15 in China from: 20 Jun 2015  to: 24 Jun 2015 .,Green,1.0,Green,1.0,2015-06-20 12:00:00,2015-06-24 00:00:00,83.3328,Tropical Depression (maximum wind speed of 83 km/h),JTWC,CHN,n.a,China,0.0,83.0,-1.0,Medium,106.4,20.4,-1.0
"Red Tropical Cyclone SOUDELOR-15 in China, Northern Mariana Islands from: 30 Jul 2015  to: 08 Aug 2015 .",Red,3.0,Green,1.0,2015-07-30 06:00:00,2015-08-08 18:00:00,268.5168,Tropical Storm (maximum wind speed of 287 km/h),JTWC,CHN,n.a,"China, Northern Mariana Islands",390000.0,269.0,1.8,Medium,118.8,25.5,5.0
Green Tropical Cyclone GUILLERMO-15 in United States from: 30 Jul 2015  to: 07 Aug 2015 .,Green,1.0,Green,1.0,2015-07-30 03:00:00,2015-08-07 15:00:00,185.184,Tropical Depression (maximum wind speed of 167 km/h),NOAA,USA,n.a,United States,0.0,185.0,-1.0,Low,-158.9,22.7,3.0
Green Tropical Cyclone EIGHT-E-15 off-shore from: 27 Jul 2015  to: 30 Jul 2015 .,Green,1.0,Green,1.0,2015-07-27 21:00:00,2015-07-30 15:00:00,64.8144,Tropical Depression (maximum wind speed of 56 km/h),NOAA,-1,n.a,Off-shore,0.0,65.0,-1.0,-1,-139.4,16.5,-1.0
"Orange Tropical Cyclone TWO-15 in India, Bangladesh, Myanmar from: 29 Jul 2015  to: 30 Jul 2015 .",Orange,2.0,Green,1.0,2015-07-29 00:00:00,2015-07-30 06:00:00,83.3328,Tropical Storm (maximum wind speed of 74 km/h),JTWC,IND,n.a,"India, Bangladesh, Myanmar",0.0,83.0,-1.0,High,91.8,22.5,-1.0
"Green Tropical Cyclone HALOLA-15 in United States Minor Outlying Islands, Japan from: 10 Jul 2015  to: 26 Jul 2015 .",Green,1.0,Green,1.0,2015-07-10 09:00:00,2015-07-26 12:00:00,222.2208,Tropical Depression (maximum wind speed of 167 km/h),JTWC,UMI,n.a,"United States Minor Outlying Islands, Japan",0.0,222.0,0.3,Low,130.0,33.3,4.0
Green Tropical Cyclone KILO-15 off-shore from: 20 Aug 2015  to: 11 Sep 2015 .,Green,1.0,Green,1.0,2015-08-20 21:00:00,2015-09-11 00:00:00,240.7392,Tropical Storm (maximum wind speed of 222 km/h),JTWC,-1,n.a,Off-shore,0.0,241.0,0.5,-1,147.4,38.5,4.0
Green Tropical Cyclone JIMENA-15 off-shore from: 26 Aug 2015  to: 10 Sep 2015 .,Green,1.0,Green,1.0,2015-08-26 21:00:00,2015-09-10 03:00:00,259.2576,Tropical Depression (maximum wind speed of 241 km/h),NOAA,-1,n.a,Off-shore,0.0,259.0,-1.0,-1,-157.2,24.6,5.0
Green Tropical Cyclone FRED-15 off-shore from: 30 Aug 2015  to: 06 Sep 2015 .,Green,1.0,Green,1.0,2015-08-30 05:30:00,2015-09-06 21:00:00,138.888,Tropical Depression (maximum wind speed of 139 km/h),NOAA,-1,n.a,Off-shore,0.0,139.0,0.3,-1,-42.5,26.5,1.0
Green Tropical Cyclone KEVIN-15 off-shore from: 31 Aug 2015  to: 05 Sep 2015 .,Green,1.0,Green,1.0,2015-08-31 21:00:00,2015-09-05 15:00:00,92.592,Tropical Depression (maximum wind speed of 93 km/h),NOAA,-1,n.a,Off-shore,0.0,93.0,-1.0,-1,-114.6,23.6,-1.0
Green Tropical Cyclone IGNACIO-15 off-shore from: 25 Aug 2015  to: 05 Sep 2015 .,Green,1.0,Green,1.0,2015-08-25 03:00:00,2015-09-05 03:00:00,231.48,Tropical Storm (maximum wind speed of 231 km/h),NOAA,-1,n.a,Off-shore,0.0,231.0,-1.0,-1,-164.5,35.5,4.0
"Orange Tropical Cyclone ERIKA-15 in Cuba, Haiti, Puerto Rico, Dominican Republic, United States, Antigua and Barbuda, Jamaica, Virgin Islands, British, Virgin Islands, U.S., Guadeloupe, Saint Kitts and Nevis, Montserrat, Anguilla from: 25 Aug 2015  to: 29 Aug 2015 .",Orange,2.0,Green,1.0,2015-08-25 03:00:00,2015-08-29 13:30:00,138.888,Tropical Depression (maximum wind speed of 83 km/h),NOAA,CUB,n.a,"Cuba, Haiti, Puerto Rico, Dominican Republic, United States, Antigua and Barbuda, Jamaica, Virgin Islands, British, Virgin Islands, U.S., Guadeloupe, Saint Kitts and Nevis, Montserrat, Anguilla",0.0,139.0,1.2,High,-75.9,21.5,1.0
Green Tropical Cyclone LOKE-15 off-shore from: 21 Aug 2015  to: 26 Aug 2015 .,Green,1.0,Green,1.0,2015-08-21 03:00:00,2015-08-26 21:00:00,129.6288,Tropical Storm (maximum wind speed of 120 km/h),NOAA,-1,n.a,Off-shore,0.0,130.0,0.1,-1,179.9,38.0,1.0
"Orange Tropical Cyclone GONI-15 in Philippines, Japan from: 14 Aug 2015  to: 25 Aug 2015 .",Orange,2.0,Green,1.0,2015-08-14 00:00:00,2015-08-25 12:00:00,277.776,Tropical Storm (maximum wind speed of 213 km/h),JTWC,PHL,n.a,"Philippines, Japan",6400000.0,278.0,2.1,Medium,131.6,36.4,5.0
