,description,alertlevel,alertscore,episodealertlevel,episodealertscore,country,fromdate,todate,severity (magnitude),source,iso3,Death,Displaced,GDACS_ID,longitude,latitude
251,GREEN Flood in Malaysia from: 22 Dec 2001 00 to: 03 Jan 2002 23.,GREEN,1.0,GREEN,1.0,Malaysia,2001-12-22 00:00:00,2002-01-03 23:59:59,5.47,DFO,MYS,11.0,18000.0,FL 1844,103.134,4.658
252,GREEN Flood in Indonesia from: 28 Dec 2001 00 to: 01 Jan 2002 23.,GREEN,1.0,GREEN,1.0,Indonesia ,2001-12-28 00:00:00,2002-01-01 23:59:59,4.66,DFO,IDN,9.0,3000.0,FL 1851,98.813,3.399
253,GREEN Flood in France from: 29 Dec 2001 00 to: 30 Dec 2001 23.,GREEN,1.0,GREEN,1.0,France,2001-12-29 00:00:00,2001-12-30 23:59:59,4.27,DFO,FRA,0.0,240.0,FL 1852,8.438,48.199
254,GREEN Flood in Peru from: 26 Dec 2001 00 to: 29 Dec 2001 23.,GREEN,1.0,GREEN,1.0,Peru,2001-12-26 00:00:00,2001-12-29 23:59:59,6.04,DFO,PER,6.0,20000.0,FL 1848,-73.807,-3.167
255,GREEN Flood in Syria from: 27 Dec 2001 00 to: 28 Dec 2001 23.,GREEN,1.0,GREEN,1.0,Syria,2001-12-27 00:00:00,2001-12-28 23:59:59,3.06,DFO,SYR,3.0,-1.0,FL 1850,36.019,35.589
256,GREEN Flood in Türkiye from: 25 Dec 2001 00 to: 26 Dec 2001 23.,GREEN,1.0,GREEN,1.0,Türkiye ,2001-12-25 00:00:00,2001-12-26 23:59:59,4.13,DFO,TUR,1.0,-1.0,FL 1849,27.412,41.108
257,GREEN Flood in Morocco from: 23 Dec 2001 00 to: 26 Dec 2001 23.,GREEN,1.0,GREEN,1.0,Morocco,2001-12-23 00:00:00,2001-12-26 23:59:59,4.41,DFO,MAR,15.0,300.0,FL 1845,-7.259,32.977
258,GREEN Flood in Brazil from: 24 Dec 2001 00 to: 25 Dec 2001 23.,GREEN,1.0,GREEN,1.0,Brazil ,2001-12-24 00:00:00,2001-12-25 23:59:59,4.6,DFO,BRA,60.0,2000.0,FL 1846,-43.108,-22.563
259,GREEN Flood in USA from: 17 Dec 2001 00 to: 25 Dec 2001 23.,GREEN,1.0,GREEN,1.0,USA,2001-12-17 00:00:00,2001-12-25 23:59:59,5.61,DFO,USA,3.0,100.0,FL 1840,-91.796,34.931
260,GREEN Flood in Thailand from: 24 Dec 2001 00 to: 24 Dec 2001 23.,GREEN,1.0,GREEN,1.0,Thailand ,2001-12-24 00:00:00,2001-12-24 23:59:59,3.93,DFO,THA,0.0,25000.0,FL 1847,100.193,8.041
261,GREEN Flood in South Africa from: 19 Dec 2001 00 to: 22 Dec 2001 23.,GREEN,1.0,GREEN,1.0,South Africa ,2001-12-19 00:00:00,2001-12-22 23:59:59,3.48,DFO,ZAF,3.0,300.0,FL 1843,29.832,-28.564
262,GREEN Flood in Malaysia from: 16 Dec 2001 00 to: 19 Dec 2001 23.,GREEN,1.0,GREEN,1.0,Malaysia ,2001-12-16 00:00:00,2001-12-19 23:59:59,4.84,DFO,MYS,0.0,1000.0,FL 1842,102.631,5.386
263,GREEN Flood in China from: 17 Dec 2001 00 to: 18 Dec 2001 23.,GREEN,1.0,GREEN,1.0,China,2001-12-17 00:00:00,2001-12-18 23:59:59,4.54,DFO,CHN,0.0,4000.0,FL 1853,108.573,40.737
264,GREEN Flood in Serbia from: 16 Dec 2001 00 to: 18 Dec 2001 23.,GREEN,1.0,GREEN,1.0,Serbia,2001-12-16 00:00:00,2001-12-18 23:59:59,2.96,DFO,SRB,9.0,600.0,FL 1838,27.204,38.432
265,GREEN Flood in Zimbabwe from: 16 Dec 2001 00 to: 18 Dec 2001 23.,GREEN,1.0,GREEN,1.0,Zimbabwe ,2001-12-16 00:00:00,2001-12-18 23:59:59,5.03,DFO,ZWE,0.0,-1.0,FL 1839,31.367,-21.291
266,GREEN Flood in Northwestern D R Congo from: 17 Dec 2001 00 to: 17 Dec 2001 00.,GREEN,1.0,Green,1.0,Northwestern D R Congo ,2001-12-17 00:00:00,2001-12-17 00:00:00,4.12,DFO,   ,0.0,13000.0,FL 1841,18.337,0.089
267,GREEN Flood in Mozambique from: 15 Dec 2001 00 to: 16 Dec 2001 23.,GREEN,1.0,GREEN,1.0,Mozambique ,2001-12-15 00:00:00,2001-12-16 23:59:59,2.62,DFO,MOZ,0.0,-1.0,FL 1837,35.44,-23.963
268,GREEN Flood in Columbia from: 13 Dec 2001 00 to: 14 Dec 2001 23.,GREEN,1.0,GREEN,1.0,Columbia,2001-12-13 00:00:00,2001-12-14 23:59:59,4.03,DFO,COL,8.0,-1.0,FL 1836,-76.33,3.555
269,GREEN Flood in South Africa from: 11 Dec 2001 00 to: 12 Dec 2001 23.,GREEN,1.0,GREEN,1.0,South Africa ,2001-12-11 00:00:00,2001-12-12 23:59:59,3.59,DFO,ZAF,5.0,100.0,FL 1835,30.242,-26.22
270,GREEN Flood in Türkiye from: 02 Dec 2001 00 to: 09 Dec 2001 23.,GREEN,1.0,GREEN,1.0,Türkiye ,2001-12-02 00:00:00,2001-12-09 23:59:59,5.08,DFO,TUR,5.0,570.0,FL 1831,35.32,36.728
271,GREEN Flood in Malaysia from: 04 Dec 2001 00 to: 07 Dec 2001 23.,GREEN,1.0,GREEN,1.0,Malaysia ,2001-12-04 00:00:00,2001-12-07 23:59:59,3.47,DFO,MYS,0.0,6000.0,FL 1832,115.875,5.424
272,GREEN Flood in Philippines from: 05 Dec 2001 00 to: 07 Dec 2001 23.,GREEN,1.0,GREEN,1.0,Philippines,2001-12-05 00:00:00,2001-12-07 23:59:59,3.93,DFO,PHL,2.0,10000.0,FL 1834,124.939,10.981
273,GREEN Flood in Iran from: 05 Dec 2001 00 to: 05 Dec 2001 23.,GREEN,1.0,GREEN,1.0,Iran,2001-12-05 00:00:00,2001-12-05 23:59:59,2.7,DFO,IRN,6.0,-1.0,FL 1833,48.31,32.607
274,GREEN Flood in Brazil from: 15 Jan 2002 00 to: 02 Apr 2002 23.,GREEN,1.0,GREEN,1.0,Brazil,2002-01-15 00:00:00,2002-04-02 23:59:59,7.04,DFO,BRA,0.0,-1.0,FL 1885,-50.482,-11.878
275,ORANGE Flood in Indonesia from: 27 Jan 2002 00 to: 12 Feb 2002 23.,ORANGE,2.0,ORANGE,2.0,Indonesia,2002-01-27 00:00:00,2002-02-12 23:59:59,6.14,DFO,IDN,147.0,380000.0,FL 1870,112.792,-7.327
276,GREEN Flood in Lithuania from: 27 Jan 2002 00 to: 02 Feb 2002 23.,GREEN,1.0,GREEN,1.0,Lithuania,2002-01-27 00:00:00,2002-02-02 23:59:59,4.3,DFO,LTU,0.0,-1.0,FL 1869,21.57,55.457
277,GREEN Flood in USA from: 23 Jan 2002 00 to: 29 Jan 2002 23.,GREEN,1.0,GREEN,1.0,USA,2002-01-23 00:00:00,2002-01-29 23:59:59,5.79,DFO,USA,6.0,-1.0,FL 1867,-85.689,35.674
278,GREEN Flood in USA from: 26 Jan 2002 00 to: 28 Jan 2002 23.,GREEN,1.0,GREEN,1.0,USA,2002-01-26 00:00:00,2002-01-28 23:59:59,3.29,DFO,USA,3.0,-1.0,FL 1868,-157.92,21.361
279,GREEN Flood in Indonesia from: 15 Jan 2002 00 to: 26 Jan 2002 23.,GREEN,1.0,GREEN,1.0,Indonesia,2002-01-15 00:00:00,2002-01-26 23:59:59,3.99,DFO,IDN,0.0,3000.0,FL 1865,106.855,-6.213
280,GREEN Flood in Russia from: 06 Jan 2002 00 to: 23 Jan 2002 23.,GREEN,1.0,GREEN,1.0,Russia,2002-01-06 00:00:00,2002-01-23 23:59:59,5.54,DFO,RUS,1.0,3000.0,FL 1862,37.851,45.5
281,GREEN Flood in Indonesia from: 13 Jan 2002 00 to: 18 Jan 2002 23.,GREEN,1.0,GREEN,1.0,Indonesia,2002-01-13 00:00:00,2002-01-18 23:59:59,4.4,DFO,IDN,13.0,-1.0,FL 1864,98.621,3.591
282,GREEN Flood in New Zealand from: 12 Jan 2002 00 to: 15 Jan 2002 23.,GREEN,1.0,GREEN,1.0,New Zealand,2002-01-12 00:00:00,2002-01-15 23:59:59,4.81,DFO,NZL,0.0,-1.0,FL 1878,171.889,-43.805
283,GREEN Flood in Iran from: 11 Jan 2002 00 to: 13 Jan 2002 23.,GREEN,1.0,GREEN,1.0,Iran,2002-01-11 00:00:00,2002-01-13 23:59:59,5.25,DFO,IRN,11.0,-1.0,FL 1863,53.018,29.669
284,ORANGE Flood in Senegal from: 09 Jan 2002 00 to: 12 Jan 2002 23.,ORANGE,2.0,ORANGE,2.0,Senegal,2002-01-09 00:00:00,2002-01-12 23:59:59,5.4,DFO,SEN,28.0,80000.0,FL 1866,-14.64,15.555
285,GREEN Flood in Indonesia from: 08 Jan 2002 00 to: 12 Jan 2002 23.,GREEN,1.0,GREEN,1.0,Indonesia,2002-01-08 00:00:00,2002-01-12 23:59:59,3.87,DFO,IDN,22.0,-1.0,FL 1860,103.346,-3.997
286,GREEN Flood in Ghana from: 06 Jan 2002 00 to: 08 Jan 2002 23.,GREEN,1.0,GREEN,1.0,Ghana,2002-01-06 00:00:00,2002-01-08 23:59:59,3.42,DFO,GHA,0.0,-1.0,FL 1861,-0.197,5.647
287,ORANGE Flood in Phillipines from: 04 Jan 2002 00 to: 07 Jan 2002 23.,ORANGE,2.0,ORANGE,2.0,Phillipines,2002-01-04 00:00:00,2002-01-07 23:59:59,4.73,DFO,PHL,9.0,95000.0,FL 1858,125.828,8.251
288,GREEN Flood in Indonesia from: 05 Jan 2002 00 to: 07 Jan 2002 23.,GREEN,1.0,GREEN,1.0,Indonesia,2002-01-05 00:00:00,2002-01-07 23:59:59,2.82,DFO,IDN,4.0,240.0,FL 1859,125.462,3.672
289,GREEN Flood in Romania from: 02 Jan 2002 00 to: 04 Jan 2002 23.,GREEN,1.0,GREEN,1.0,Romania,2002-01-02 00:00:00,2002-01-04 23:59:59,4.13,DFO,ROU,0.0,120.0,FL 1855,22.916,47.891
290,GREEN Flood in Indonesia from: 01 Jan 2002 00 to: 04 Jan 2002 23.,GREEN,1.0,GREEN,1.0,Indonesia,2002-01-01 00:00:00,2002-01-04 23:59:59,4.26,DFO,IDN,5.0,300.0,FL 1856,119.618,-5.233
291,GREEN Flood in Brazil from: 02 Jan 2002 00 to: 04 Jan 2002 23.,GREEN,1.0,GREEN,1.0,Brazil,2002-01-02 00:00:00,2002-01-04 23:59:59,3.67,DFO,BRA,0.0,-1.0,FL 1857,-50.253,-15.815
292,GREEN Flood in Australia from: 23 Feb 2002 00 to: 01 Mar 2002 23.,GREEN,1.0,GREEN,1.0,Australia,2002-02-23 00:00:00,2002-03-01 23:59:59,5.91,DFO,AUS,0.0,32.0,FL 1886,126.014,-18.06
293,GREEN Flood in Russia from: 24 Feb 2002 00 to: 27 Feb 2002 23.,GREEN,1.0,GREEN,1.0,Russia,2002-02-24 00:00:00,2002-02-27 23:59:59,4.22,DFO,RUS,0.0,-1.0,FL 1888,47.843,50.857
294,GREEN Flood in Fiji from: 23 Feb 2002 00 to: 25 Feb 2002 23.,GREEN,1.0,GREEN,1.0,Fiji,2002-02-23 00:00:00,2002-02-25 23:59:59,3.51,DFO,FJI,1.0,-1.0,FL 1887,178.456,-17.769
295,GREEN Flood in Indonesia from: 17 Feb 2002 00 to: 25 Feb 2002 23.,GREEN,1.0,GREEN,1.0,Indonesia,2002-02-17 00:00:00,2002-02-25 23:59:59,4.08,DFO,IDN,4.0,30000.0,FL 1882,109.784,-6.954
296,GREEN Flood in Australia from: 12 Feb 2002 00 to: 23 Feb 2002 23.,GREEN,1.0,GREEN,1.0,Australia,2002-02-12 00:00:00,2002-02-23 23:59:59,5.09,DFO,AUS,0.0,-1.0,FL 1877,132.042,-14.116
297,GREEN Flood in Indonesia from: 13 Feb 2002 00 to: 23 Feb 2002 23.,GREEN,1.0,GREEN,1.0,Indonesia,2002-02-13 00:00:00,2002-02-23 23:59:59,3.95,DFO,IDN,0.0,15000.0,FL 1879,106.855,-6.213
298,GREEN Flood in Uzbekistan from: 18 Feb 2002 00 to: 21 Feb 2002 23.,GREEN,1.0,GREEN,1.0,Uzbekistan,2002-02-18 00:00:00,2002-02-21 23:59:59,4.44,DFO,UZB,0.0,-1.0,FL 1883,71.408,40.826
299,GREEN Flood in Bolivia from: 19 Feb 2002 00 to: 21 Feb 2002 23.,GREEN,1.0,GREEN,1.0,Bolivia,2002-02-19 00:00:00,2002-02-21 23:59:59,3.32,DFO,BOL,69.0,850.0,FL 1884,-68.129,-16.501
300,GREEN Flood in Australia from: 15 Feb 2002 00 to: 18 Feb 2002 23.,GREEN,1.0,GREEN,1.0,Australia,2002-02-15 00:00:00,2002-02-18 23:59:59,5.28,DFO,AUS,0.0,14.0,FL 1881,146.755,-20.269
301,GREEN Flood in Russia from: 15 Feb 2002 00 to: 17 Feb 2002 23.,GREEN,1.0,GREEN,1.0,Russia,2002-02-15 00:00:00,2002-02-17 23:59:59,3.19,DFO,RUS,0.0,1200.0,FL 1880,42.286,42.173
302,GREEN Flood in UK from: 12 Feb 2002 00 to: 16 Feb 2002 23.,GREEN,1.0,GREEN,1.0,UK,2002-02-12 00:00:00,2002-02-16 23:59:59,4.02,DFO,GBR,0.0,-1.0,FL 1876,-3.014,52.669
303,GREEN Flood in Peru from: 04 Feb 2002 00 to: 15 Feb 2002 23.,GREEN,1.0,GREEN,1.0,Peru,2002-02-04 00:00:00,2002-02-15 23:59:59,6.6,DFO,PER,6.0,20000.0,FL 1873,-73.808,-13.455
304,GREEN Flood in Australia from: 05 Feb 2002 00 to: 09 Feb 2002 23.,GREEN,1.0,GREEN,1.0,Australia,2002-02-05 00:00:00,2002-02-09 23:59:59,4.0,DFO,AUS,0.0,-1.0,FL 1874,151.113,-33.92
305,GREEN Flood in DR Congo from: 06 Feb 2002 00 to: 08 Feb 2002 23.,GREEN,1.0,GREEN,1.0,DR Congo,2002-02-06 00:00:00,2002-02-08 23:59:59,2.78,DFO,COD,40.0,2500.0,FL 1875,29.129,-3.319
306,GREEN Flood in India from: 02 Feb 2002 00 to: 05 Feb 2002 23.,GREEN,1.0,GREEN,1.0,India,2002-02-02 00:00:00,2002-02-05 23:59:59,5.15,DFO,IND,11.0,-1.0,FL 1871,78.784,10.452
307,GREEN Flood in Brazil from: 03 Feb 2002 00 to: 05 Feb 2002 23.,GREEN,1.0,GREEN,1.0,Brazil,2002-02-03 00:00:00,2002-02-05 23:59:59,3.83,DFO,BRA,10.0,2000.0,FL 1872,-41.661,-17.771
308,GREEN Flood in Ecuador from: 06 Mar 2002 00 to: 29 Apr 2002 23.,GREEN,1.0,GREEN,1.0,Ecuador,2002-03-06 00:00:00,2002-04-29 23:59:59,6.59,DFO,ECU,28.0,6000.0,FL 1890,-80.03,-1.74
309,GREEN Flood in Austria from: 21 Mar 2002 00 to: 05 Apr 2002 23.,GREEN,1.0,GREEN,1.0,Austria,2002-03-21 00:00:00,2002-04-05 23:59:59,4.63,DFO,AUT,1.0,10.0,FL 1895,14.418,48.27
310,GREEN Flood in Tajikistan from: 25 Mar 2002 00 to: 02 Apr 2002 23.,GREEN,1.0,GREEN,1.0,Tajikistan,2002-03-25 00:00:00,2002-04-02 23:59:59,4.66,DFO,TJK,0.0,280.0,FL 1899,69.734,38.117
311,GREEN Flood in Canary Islands from: 31 Mar 2002 00 to: 02 Apr 2002 23.,GREEN,1.0,GREEN,1.0,Canary Islands,2002-03-31 00:00:00,2002-04-02 23:59:59,2.55,DFO,-1,8.0,400.0,FL 1900,-16.254,28.479
312,GREEN Flood in Peru from: 17 Mar 2002 00 to: 31 Mar 2002 23.,GREEN,1.0,GREEN,1.0,Peru,2002-03-17 00:00:00,2002-03-31 23:59:59,5.31,DFO,PER,13.0,500.0,FL 1898,-70.165,-15.77
313,GREEN Flood in Indonesia from: 27 Mar 2002 00 to: 30 Mar 2002 23.,GREEN,1.0,GREEN,1.0,Indonesia,2002-03-27 00:00:00,2002-03-30 23:59:59,3.58,DFO,IDN,11.0,500.0,FL 1897,97.745,0.96
314,GREEN Flood in Phillipines from: 21 Mar 2002 00 to: 26 Mar 2002 23.,GREEN,1.0,GREEN,1.0,Phillipines,2002-03-21 00:00:00,2002-03-26 23:59:59,4.5,DFO,PHL,35.0,50000.0,FL 1896,126.216,8.849
315,GREEN Flood in USA. from: 17 Mar 2002 00 to: 24 Mar 2002 23.,GREEN,1.0,GREEN,1.0,USA.,2002-03-17 00:00:00,2002-03-24 23:59:59,5.82,DFO,USA,7.0,2000.0,FL 1893,-83.218,36.892
316,GREEN Flood in Mozambique from: 18 Mar 2002 00 to: 22 Mar 2002 23.,GREEN,1.0,GREEN,1.0,Mozambique,2002-03-18 00:00:00,2002-03-22 23:59:59,3.77,DFO,MOZ,0.0,500.0,FL 1894,39.303,-15.132
317,GREEN Flood in China from: 10 Mar 2002 00 to: 12 Mar 2002 23.,GREEN,1.0,GREEN,1.0,China,2002-03-10 00:00:00,2002-03-12 23:59:59,3.48,DFO,CHN,0.0,-1.0,FL 1892,77.356,39.691
318,GREEN Flood in Egypt from: 09 Mar 2002 00 to: 11 Mar 2002 23.,GREEN,1.0,GREEN,1.0,Egypt,2002-03-09 00:00:00,2002-03-11 23:59:59,3.23,DFO,EGY,4.0,800.0,FL 1891,35.468,23.193
319,GREEN Flood in Afghanistan from: 04 Mar 2002 00 to: 08 Mar 2002 23.,GREEN,1.0,GREEN,1.0,Afghanistan,2002-03-04 00:00:00,2002-03-08 23:59:59,3.71,DFO,AFG,0.0,-1.0,FL 1889,67.869,36.086
320,GREEN Flood in USA from: 27 Apr 2002 00 to: 31 May 2002 23.,GREEN,1.0,GREEN,1.0,USA,2002-04-27 00:00:00,2002-05-31 23:59:59,5.79,DFO,USA,0.0,-1.0,FL 2007,-156.216,62.233
321,ORANGE Flood in Africa from: 26 Apr 2002 00 to: 28 May 2002 23.,ORANGE,2.0,ORANGE,2.0,Africa,2002-04-26 00:00:00,2002-05-28 23:59:59,7.87,DFO,CAF,160.0,168000.0,FL 1917,33.544,-0.076
322,GREEN Flood in Uruguay from: 23 Apr 2002 00 to: 09 May 2002 23.,GREEN,1.0,GREEN,1.0,Uruguay,2002-04-23 00:00:00,2002-05-09 23:59:59,6.54,DFO,URY,0.0,3600.0,FL 1939,-55.95,-32.486
323,GREEN Flood in Russia from: 22 Apr 2002 00 to: 07 May 2002 23.,GREEN,1.0,GREEN,1.0,Russia,2002-04-22 00:00:00,2002-05-07 23:59:59,6.49,DFO,RUS,0.0,6000.0,FL 1910,67.245,58.045
324,GREEN Flood in Kenya from: 29 Apr 2002 00 to: 02 May 2002 23.,GREEN,1.0,GREEN,1.0,Kenya,2002-04-29 00:00:00,2002-05-02 23:59:59,4.19,DFO,KEN,2.0,-1.0,FL 1915,36.91,-1.218
325,GREEN Flood in Columbia from: 24 Apr 2002 00 to: 29 Apr 2002 23.,GREEN,1.0,GREEN,1.0,Columbia,2002-04-24 00:00:00,2002-04-29 23:59:59,6.46,DFO,COL,14.0,-1.0,FL 1912,-75.673,4.674
326,GREEN Flood in Russia from: 26 Apr 2002 00 to: 29 Apr 2002 23.,GREEN,1.0,GREEN,1.0,Russia,2002-04-26 00:00:00,2002-04-29 23:59:59,4.97,DFO,RUS,0.0,-1.0,FL 1913,156.653,53.592
327,GREEN Flood in Bangladesh from: 18 Apr 2002 00 to: 29 Apr 2002 23.,GREEN,1.0,GREEN,1.0,Bangladesh,2002-04-18 00:00:00,2002-04-29 23:59:59,4.76,DFO,BGD,0.0,-1.0,FL 1908,91.52,24.982
328,GREEN Flood in Iran from: 26 Apr 2002 00 to: 28 Apr 2002 23.,GREEN,1.0,GREEN,1.0,Iran,2002-04-26 00:00:00,2002-04-28 23:59:59,2.93,DFO,IRN,2.0,-1.0,FL 1914,55.429,37.28
329,GREEN Flood in USA from: 25 Apr 2002 00 to: 27 Apr 2002 23.,GREEN,1.0,GREEN,1.0,USA,2002-04-25 00:00:00,2002-04-27 23:59:59,3.27,DFO,USA,1.0,32.0,FL 1911,-99.316,32.732
330,GREEN Flood in Afghanistan from: 23 Apr 2002 00 to: 26 Apr 2002 23.,GREEN,1.0,GREEN,1.0,Afghanistan,2002-04-23 00:00:00,2002-04-26 23:59:59,4.17,DFO,AFG,2.0,2000.0,FL 1909,62.971,34.613
331,GREEN Flood in USA from: 17 Apr 2002 00 to: 22 Apr 2002 23.,GREEN,1.0,GREEN,1.0,USA,2002-04-17 00:00:00,2002-04-22 23:59:59,5.43,DFO,USA,0.0,300.0,FL 1904,-89.576,46.487
332,GREEN Flood in Ethiopia from: 16 Apr 2002 00 to: 21 Apr 2002 23.,GREEN,1.0,GREEN,1.0,Ethiopia,2002-04-16 00:00:00,2002-04-21 23:59:59,6.23,DFO,ETH,0.0,4000.0,FL 1907,43.063,7.311
333,GREEN Flood in Indonesia from: 17 Apr 2002 00 to: 20 Apr 2002 23.,GREEN,1.0,GREEN,1.0,Indonesia,2002-04-17 00:00:00,2002-04-20 23:59:59,4.29,DFO,IDN,19.0,-1.0,FL 1906,120.032,-9.704
334,GREEN Flood in Indonesia from: 17 Apr 2002 00 to: 19 Apr 2002 23.,GREEN,1.0,GREEN,1.0,Indonesia,2002-04-17 00:00:00,2002-04-19 23:59:59,3.44,DFO,IDN,4.0,-1.0,FL 1905,108.216,-7.286
335,GREEN Flood in Iran from: 14 Apr 2002 00 to: 16 Apr 2002 23.,GREEN,1.0,GREEN,1.0,Iran,2002-04-14 00:00:00,2002-04-16 23:59:59,5.13,DFO,IRN,11.0,-1.0,FL 1903,53.38,32.288
336,GREEN Flood in Saudi Arabia from: 08 Apr 2002 00 to: 13 Apr 2002 23.,GREEN,1.0,GREEN,1.0,Saudi Arabia,2002-04-08 00:00:00,2002-04-13 23:59:59,5.14,DFO,SAU,19.0,-1.0,FL 1902,39.898,21.096
337,GREEN Flood in Afghanistan from: 04 Apr 2002 00 to: 07 Apr 2002 23.,GREEN,1.0,GREEN,1.0,Afghanistan,2002-04-04 00:00:00,2002-04-07 23:59:59,3.67,DFO,AFG,39.0,2500.0,FL 1901,64.816,35.834
338,GREEN Flood in China from: 23 May 2002 00 to: 22 Jun 2002 23.,GREEN,1.0,GREEN,1.0,China,2002-05-23 00:00:00,2002-06-22 23:59:59,6.89,DFO,CHN,22.0,-1.0,FL 1940,82.549,43.367
339,GREEN Flood in USA from: 07 May 2002 00 to: 08 Jun 2002 23.,GREEN,1.0,GREEN,1.0,USA,2002-05-07 00:00:00,2002-06-08 23:59:59,6.93,DFO,USA,9.0,100.0,FL 1919,-88.288,39.195
340,GREEN Flood in Russia from: 07 May 2002 00 to: 06 Jun 2002 23.,GREEN,1.0,GREEN,1.0,Russia,2002-05-07 00:00:00,2002-06-06 23:59:59,6.28,DFO,RUS,0.0,1000.0,FL 1921,64.578,58.692
341,GREEN Flood in Nicaragua from: 23 May 2002 00 to: 05 Jun 2002 23.,GREEN,1.0,GREEN,1.0,Nicaragua,2002-05-23 00:00:00,2002-06-05 23:59:59,6.04,DFO,NIC,30.0,9000.0,FL 1928,-86.739,13.285
342,GREEN Flood in Chile from: 24 May 2002 00 to: 05 Jun 2002 23.,GREEN,1.0,GREEN,1.0,Chile,2002-05-24 00:00:00,2002-06-05 23:59:59,6.64,DFO,CHL,9.0,50000.0,FL 1932,-70.163,-30.118
343,GREEN Flood in Russia from: 27 May 2002 00 to: 01 Jun 2002 23.,GREEN,1.0,GREEN,1.0,Russia,2002-05-27 00:00:00,2002-06-01 23:59:59,6.33,DFO,RUS,0.0,-1.0,FL 1933,94.201,64.805
344,GREEN Flood in Bulgaria from: 30 May 2002 00 to: 01 Jun 2002 23.,GREEN,1.0,GREEN,1.0,Bulgaria,2002-05-30 00:00:00,2002-06-01 23:59:59,2.63,DFO,BGR,0.0,20.0,FL 1934,25.634,43.085
345,GREEN Flood in USA from: 30 May 2002 00 to: 01 Jun 2002 23.,GREEN,1.0,GREEN,1.0,USA,2002-05-30 00:00:00,2002-06-01 23:59:59,4.5,DFO,USA,0.0,-1.0,FL 1935,-77.152,42.849
346,GREEN Flood in Russia from: 24 May 2002 00 to: 01 Jun 2002 23.,GREEN,1.0,GREEN,1.0,Russia,2002-05-24 00:00:00,2002-06-01 23:59:59,5.89,DFO,RUS,0.0,1500.0,FL 1931,131.95,62.881
347,GREEN Flood in Bangladesh from: 23 May 2002 00 to: 31 May 2002 23.,GREEN,1.0,GREEN,1.0,Bangladesh,2002-05-23 00:00:00,2002-05-31 23:59:59,4.59,DFO,BGD,0.0,-1.0,FL 1930,91.775,24.496
348,GREEN Flood in USA from: 28 May 2002 00 to: 30 May 2002 23.,GREEN,1.0,GREEN,1.0,USA,2002-05-28 00:00:00,2002-05-30 23:59:59,3.29,DFO,USA,0.0,-1.0,FL 1927,-75.872,41.248
349,GREEN Flood in China from: 22 May 2002 00 to: 29 May 2002 23.,GREEN,1.0,GREEN,1.0,China,2002-05-22 00:00:00,2002-05-29 23:59:59,6.1,DFO,CHN,0.0,-1.0,FL 1929,111.889,27.333
350,GREEN Flood in Paraguay from: 06 May 2002 00 to: 28 May 2002 23.,GREEN,1.0,GREEN,1.0,Paraguay,2002-05-06 00:00:00,2002-05-28 23:59:59,6.09,DFO,PRY,0.0,1000.0,FL 1925,-57.811,-26.677
351,GREEN Flood in Afghanistan from: 16 May 2002 00 to: 20 May 2002 23.,GREEN,1.0,GREEN,1.0,Afghanistan,2002-05-16 00:00:00,2002-05-20 23:59:59,4.46,DFO,AFG,1.0,-1.0,FL 1926,67.059,34.287
352,GREEN Flood in Madagascar from: 10 May 2002 00 to: 18 May 2002 23.,GREEN,1.0,GREEN,1.0,Madagascar,2002-05-10 00:00:00,2002-05-18 23:59:59,4.84,DFO,MDG,33.0,5000.0,FL 1922,49.184,-18.273
353,GREEN Flood in Vietnam from: 12 May 2002 00 to: 15 May 2002 23.,GREEN,1.0,GREEN,1.0,Vietnam,2002-05-12 00:00:00,2002-05-15 23:59:59,5.56,DFO,VNM,6.0,-1.0,FL 1924,104.442,22.052
354,GREEN Flood in Oman from: 10 May 2002 00 to: 12 May 2002 23.,GREEN,1.0,GREEN,1.0,Oman,2002-05-10 00:00:00,2002-05-12 23:59:59,4.75,DFO,OMN,9.0,100.0,FL 1923,53.58,17.247
355,GREEN Flood in Costa Rica from: 06 May 2002 00 to: 11 May 2002 23.,GREEN,1.0,GREEN,1.0,Costa Rica,2002-05-06 00:00:00,2002-05-11 23:59:59,5.35,DFO,CRI,0.0,5600.0,FL 1918,-83.36,9.946
356,GREEN Flood in USA from: 07 May 2002 00 to: 09 May 2002 23.,GREEN,1.0,GREEN,1.0,USA,2002-05-07 00:00:00,2002-05-09 23:59:59,3.31,DFO,USA,0.0,24.0,FL 1920,-157.366,59.44
357,GREEN Flood in USA from: 02 May 2002 00 to: 08 May 2002 23.,GREEN,1.0,GREEN,1.0,USA,2002-05-02 00:00:00,2002-05-08 23:59:59,5.14,DFO,USA,9.0,1000.0,FL 1916,-81.987,37.547
358,RED Flood in India from: 21 Jun 2002 00 to: 28 Aug 2002 23.,RED,3.0,RED,3.0,India,2002-06-21 00:00:00,2002-08-28 23:59:59,7.28,DFO,IND,503.0,15000000.0,FL 1974,89.27,25.842
359,GREEN Flood in Texas from: 30 Jun 2002 00 to: 23 Jul 2002 23.,GREEN,1.0,GREEN,1.0,Texas,2002-06-30 00:00:00,2002-07-23 23:59:59,6.81,DFO,USA,9.0,4000.0,FL 1972,-98.359,29.533
